"";"CD_MUNIC";"ano";"Pop";"Obitos";"PopPad";"Obtadj";"tx";"txadj"
"272";150740;2013;15301;2,1;1e+06;136,665217447947;13,7245931638455;13,6665217447947
"273";150745;2013;25056;12;1e+06;480,972845523046;47,8927203065134;48,0972845523047
"274";150746;2013;5608;1;1e+06;195,653846611097;17,8316690442225;19,5653846611097
"275";150747;2013;21536;5,9;1e+06;282,474845809512;27,3959881129272;28,2474845809512
"276";150750;2013;13419;6,2;1e+06;500,21745351035;46,2031447946941;50,021745351035
"277";150760;2013;54417;16,3;1e+06;286,261241422015;29,9538747082713;28,6261241422015
"278";150770;2013;24363;1,8;1e+06;78,9952930294184;7,3882526782416;7,89952930294184
"279";150775;2013;5395;0,7;1e+06;124,415182932501;12,9749768303985;12,4415182932501
"280";150780;2013;12331;1,2;1e+06;115,033822169508;9,73157083772606;11,5033822169508
"281";150790;2013;23861;2,6;1e+06;106,26113280483;10,8964418926281;10,626113280483
"282";150795;2013;90552;59,5;1e+06;674,351461549477;65,7081014223871;67,4351461549477
"283";150796;2013;10822;4,3;1e+06;398,69427682614;39,7338754389207;39,8694276826141
"284";150797;2013;17614;0,6;1e+06;32,3108976061198;3,40638128761213;3,23108976061198
"285";150800;2013;59112;29,5;1e+06;513,046440352168;49,9052645824875;51,3046440352168
"286";150803;2013;28775;4,9;1e+06;179,965446036543;17,0286707211121;17,9965446036543
"287";150805;2013;17670;2,7;1e+06;162,713937200075;15,2801358234295;16,2713937200075
"288";150808;2013;36021;15,8;1e+06;452,031106474375;43,863301962744;45,2031106474375
"289";150810;2013;103619;50,5;1e+06;495,759385177975;48,7362356324612;49,5759385177975
"290";150812;2013;49972;13,2;1e+06;275,547348744397;26,4147922836789;27,5547348744397
"291";150815;2013;44731;21,3;1e+06;509,09027814267;47,6179830542577;50,909027814267
"292";150820;2013;50055;20;1e+06;375,932861503516;39,9560483468185;37,5932861503516
"293";150830;2013;58323;5,6;1e+06;106,684596855612;9,60170087272603;10,6684596855612
"294";150835;2013;14072;4,2;1e+06;290,165019281454;29,8465036952814;29,0165019281454
"295";150840;2013;42085;17,8;1e+06;415,968172525709;42,2953546394202;41,5968172525709
"296";160005;2013;4761;0,8;1e+06;177,168340764974;16,8031926065953;17,7168340764974
"297";160010;2013;8483;1,4;1e+06;149,816383646064;16,5035954261464;14,9816383646064
"298";160015;2013;12828;2,2;1e+06;167,237424098206;17,1499844091051;16,7237424098206
"299";160020;2013;9793;3,3;1e+06;370,016242376578;33,6975390585112;37,0016242376578
"300";160021;2013;5173;0,9;1e+06;233,169245478434;17,398028223468;23,3169245478434
"301";160023;2013;6525;2,2;1e+06;349,83068559393;33,7164750957854;34,983068559393
"302";160025;2013;4722;0,9;1e+06;235,284322315442;19,0597204574333;23,5284322315442
